"respondent_id","started_at","submitted_at","format","what_worked","what_to_improve"
"R001","2026-06-01T09:14:00Z","2026-06-01T09:18:00Z","in_person","excellent speakers and useful practical sessions","too crowded and the rooms were hard to find"
"R002","2026-06-01T09:14:37Z","2026-06-01T09:18:37Z","online","easy to join and the speakers were clear","more interaction please and better audio quality"
"R003","2026-06-01T09:15:14Z","2026-06-01T09:19:14Z","in_person","well organised sessions with useful handouts","too crowded and the rooms were hard to find"
"R004","2026-06-01T09:15:51Z","2026-06-01T09:19:51Z","in_person","networking was valuable and the venue was good","too crowded and the rooms were hard to find"
"R005","2026-06-01T09:16:28Z","2026-06-01T09:20:28Z","online","easy to join and the speakers were clear","audio was poor and it was hard to ask questions"
"R006","2026-06-01T09:17:05Z","2026-06-01T09:21:05Z","in_person","networking was valuable and the venue was good","the breaks were too short and rooms were crowded"
"R007","2026-06-01T09:17:42Z","2026-06-01T09:21:42Z","online","the online platform worked well and was easy","slow platform and little chance to interact"
"R008","2026-06-01T09:18:19Z","2026-06-01T09:22:19Z","in_person","the sessions were excellent and well organised","too crowded and the rooms were hard to find"
"R009","2026-06-01T09:18:56Z","2026-06-01T09:22:56Z","in_person","networking was valuable and the venue was good","catering was poor and signage was confusing"
"R010","2026-06-01T09:19:33Z","2026-06-01T09:23:33Z","in_person","excellent speakers and useful practical sessions","too crowded and the rooms were hard to find"
"R011","2026-06-01T09:20:10Z","2026-06-01T09:24:10Z","in_person","excellent speakers and useful practical sessions","too crowded and the rooms were hard to find"
"R012","2026-06-01T09:20:47Z","2026-06-01T09:24:47Z","online","good content and easy access from home","more interaction please and better audio quality"
"R013","2026-06-01T09:21:24Z","2026-06-01T09:25:24Z","in_person","well organised sessions with useful handouts","too crowded and the rooms were hard to find"
"R014","2026-06-01T09:22:01Z","2026-06-01T09:26:01Z","in_person","networking was valuable and the venue was good","catering was poor and signage was confusing"
"R015","2026-06-01T09:22:38Z","2026-06-01T09:26:38Z","in_person","networking was valuable and the venue was good","too crowded and the rooms were hard to find"
"R016","2026-06-01T09:23:15Z","2026-06-01T09:27:15Z","online","the online platform worked well and was easy","audio was poor and it was hard to ask questions"
"R017","2026-06-01T09:23:52Z","2026-06-01T09:27:52Z","in_person","well organised sessions with useful handouts","more practical sessions and longer breaks please"
"R018","2026-06-01T09:24:29Z","2026-06-01T09:28:29Z","in_person","networking was valuable and the venue was good","the breaks were too short and rooms were crowded"
"R019","2026-06-01T09:25:06Z","2026-06-01T09:29:06Z","in_person","well organised sessions with useful handouts","catering was poor and signage was confusing"
"R020","2026-06-01T09:25:43Z","2026-06-01T09:29:43Z","in_person","the sessions were excellent and well organised","the breaks were too short and rooms were crowded"
"R021","2026-06-01T09:26:20Z","2026-06-01T09:30:20Z","in_person","well organised sessions with useful handouts","the breaks were too short and rooms were crowded"
"R022","2026-06-01T09:26:57Z","2026-06-01T09:30:57Z","online","easy to join and the speakers were clear","slow platform and little chance to interact"
"R023","2026-06-01T09:27:34Z","2026-06-01T09:31:34Z","in_person","networking was valuable and the venue was good","catering was poor and signage was confusing"
"R024","2026-06-01T09:28:11Z","2026-06-01T09:32:11Z","in_person","the sessions were excellent and well organised","more practical sessions and longer breaks please"
"R025","2026-06-01T09:28:48Z","2026-06-01T09:32:48Z","online","good content and easy access from home","the platform was slow and hard to navigate"
"R026","2026-06-01T09:29:25Z","2026-06-01T09:33:25Z","online","the online platform worked well and was easy","the platform was slow and hard to navigate"
"R027","2026-06-01T09:30:02Z","2026-06-01T09:34:02Z","in_person","networking was valuable and the venue was good","more practical sessions and longer breaks please"
"R028","2026-06-01T09:30:39Z","2026-06-01T09:34:39Z","online","useful sessions and the recordings were excellent","more interaction please and better audio quality"
"R029","2026-06-01T09:31:16Z","2026-06-01T09:35:16Z","in_person","the sessions were excellent and well organised","the breaks were too short and rooms were crowded"
"R030","2026-06-01T09:31:53Z","2026-06-01T09:35:53Z","in_person","networking was valuable and the venue was good","more practical sessions and longer breaks please"
"R031","2026-06-01T09:32:30Z","2026-06-01T09:36:30Z","online","easy to join and the speakers were clear","audio was poor and it was hard to ask questions"
"R032","2026-06-01T09:33:07Z","2026-06-01T09:37:07Z","online","the online platform worked well and was easy","more interaction please and better audio quality"
"R033","2026-06-01T09:33:44Z","2026-06-01T09:37:44Z","in_person","well organised sessions with useful handouts","catering was poor and signage was confusing"
